"Split","In_Best_X","p_mutation","sigma_end","Score"
"0.9","1.0","0.9","2.0E-4","9.999912979494283"
"0.9","1.0","0.9","3.0000000000000003E-4","9.999924077524312"
"0.9","1.0","0.9","4.0E-4","9.99993228663995"
"0.9","1.0","0.9","5.0E-4","9.999928368099114"
"0.9","1.0","0.9","6.000000000000001E-4","9.999938234661029"
"0.9","1.0","0.9","7.000000000000001E-4","9.999940079325182"
"0.9","1.0","0.9","8.000000000000001E-4","9.999943173682908"
"0.9","1.0","0.9","9.000000000000002E-4","9.99994108469547"
"0.9","1.0","0.9","0.0010000000000000002","9.999948929309216"
"0.9","1.0","0.9","0.0011000000000000003","9.999952188708622"
"0.9","1.0","0.9","0.0012000000000000003","9.999943021362572"
"0.9","1.0","0.9","0.0013000000000000004","9.999950145639154"
"0.9","1.0","0.9","0.0014000000000000004","9.999938579657783"
"0.9","1.0","0.9","0.0015000000000000005","9.999949971367142"
"0.9","1.0","0.9","0.0016000000000000005","9.999945848804298"
"0.9","1.0","0.9","0.0017000000000000006","9.999953442627163"
"0.9","1.0","0.9","0.0018000000000000006","9.999941475080195"
"0.9","1.0","0.9","0.0019000000000000006","9.999941022185837"
"0.9","1.0","0.9","0.0020000000000000005","9.999946652561118"
"0.9","1.0","0.9","0.0021000000000000003","9.999951358657288"
"0.9","1.0","0.9","0.0022","9.999939589621968"
"0.9","1.0","0.9","0.0023","9.999939760247182"
"0.9","1.0","0.9","0.0024","9.999939856394677"
"0.9","1.0","0.9","0.0024999999999999996","9.999944129884295"
"0.9","1.0","0.9","0.0025999999999999994","9.999938828685682"
"0.9","1.0","0.9","0.0026999999999999993","9.999935412854715"
"0.9","1.0","0.9","0.002799999999999999","9.99993798332456"
"0.9","1.0","0.9","0.002899999999999999","9.99992192179196"
"0.9","1.0","0.9","0.0029999999999999988","9.999936349636807"
"0.9","1.0","0.9","0.0030999999999999986","9.99993261345581"
"0.9","1.0","0.9","0.0031999999999999984","9.99992268423551"
"0.9","1.0","0.9","0.0032999999999999982","9.999925873732114"
"0.9","1.0","0.9","0.003399999999999998","9.999923239643428"
"0.9","1.0","0.9","0.003499999999999998","9.99993251268107"
"0.9","1.0","0.9","0.0035999999999999977","9.999914822760239"
"0.9","1.0","0.9","0.0036999999999999976","9.999913124666799"
"0.9","1.0","0.9","0.0037999999999999974","9.999910748721607"
"0.9","1.0","0.9","0.0038999999999999972","9.999920862037929"
"0.9","1.0","0.9","0.0039999999999999975","9.999920279888128"
"0.9","1.0","0.9","0.004099999999999998","9.999918340751867"
"0.9","1.0","0.9","0.004199999999999998","9.999900429004892"
"0.9","1.0","0.9","0.004299999999999998","9.999902897960606"
"0.9","1.0","0.9","0.0043999999999999985","9.999896717403212"
"0.9","1.0","0.9","0.004499999999999999","9.999894233724428"
"0.9","1.0","0.9","0.004599999999999999","9.99989475326355"
"0.9","1.0","0.9","0.004699999999999999","9.999893677228954"
"0.9","1.0","0.9","0.0048","9.999899594843972"
"0.9","1.0","0.9","0.0049","9.999893874480168"
"0.9","1.0","0.9","0.005","9.999883370346533"
"0.9","1.0","0.9","0.0051","9.999874004464582"
"0.9","1.0","0.9","0.005200000000000001","9.999897204955724"
"0.9","1.0","0.9","0.005300000000000001","9.99989130787647"
"0.9","1.0","0.9","0.005400000000000001","9.999881315100982"
"0.9","1.0","0.9","0.005500000000000001","9.999872224253366"
"0.9","1.0","0.9","0.005600000000000002","9.999874393278498"
"0.9","1.0","0.9","0.005700000000000002","9.999885034050944"
"0.9","1.0","0.9","0.005800000000000002","9.999882926517435"
"0.9","1.0","0.9","0.0059000000000000025","9.999863452331576"
"0.9","1.0","0.9","0.006000000000000003","9.99986886944852"
"0.9","1.0","0.9","0.006100000000000003","9.999855245638026"
"0.9","1.0","0.9","0.006200000000000003","9.999863545320665"
"0.9","1.0","0.9","0.0063000000000000035","9.999861098839762"
"0.9","1.0","0.9","0.006400000000000004","9.999856996280315"
"0.9","1.0","0.9","0.006500000000000004","9.999872845717812"
"0.9","1.0","0.9","0.006600000000000004","9.999865244260699"
"0.9","1.0","0.9","0.0067000000000000046","9.999864065811806"
"0.9","1.0","0.9","0.006800000000000005","9.999861999342489"
"0.9","1.0","0.9","0.006900000000000005","9.99987646606011"
"0.9","1.0","0.9","0.007000000000000005","9.999855457364035"
"0.9","1.0","0.9","0.007100000000000006","9.999874700394624"
"0.9","1.0","0.9","0.007200000000000006","9.999855751095675"
"0.9","1.0","0.9","0.007300000000000006","9.999871298861247"
"0.9","1.0","0.9","0.007400000000000006","9.999880359703647"
"0.9","1.0","0.9","0.007500000000000007","9.999846737761994"
"0.9","1.0","0.9","0.007600000000000007","9.999840160014932"
"0.9","1.0","0.9","0.007700000000000007","9.999845427972284"
"0.9","1.0","0.9","0.0078000000000000074","9.999844308277051"
"0.9","1.0","0.9","0.007900000000000008","9.999853094595363"
"0.9","1.0","0.9","0.008000000000000007","9.99986027782202"
"0.9","1.0","0.9","0.008100000000000007","9.999858276217845"
"0.9","1.0","0.9","0.008200000000000006","9.999842638549168"
"0.9","1.0","0.9","0.008300000000000005","9.999863662896567"
"0.9","1.0","0.9","0.008400000000000005","9.999862841211563"
"0.9","1.0","0.9","0.008500000000000004","9.999861981693968"
"0.9","1.0","0.9","0.008600000000000003","9.99986108434386"
"0.9","1.0","0.9","0.008700000000000003","9.999858473486137"
"0.9","1.0","0.9","0.008800000000000002","9.999857680672912"
"0.9","1.0","0.9","0.008900000000000002","9.999856854560335"
"0.9","1.0","0.9","0.009000000000000001","9.999855995148517"
"0.9","1.0","0.9","0.0091","9.999833547948096"
"0.9","1.0","0.9","0.0092","9.999832682438045"
"0.9","1.0","0.9","0.0093","9.999831790090681"
"0.9","1.0","0.9","0.009399999999999999","9.999830870906015"
"0.9","1.0","0.9","0.009499999999999998","9.999842870422706"
"0.9","1.0","0.9","0.009599999999999997","9.999828952024838"
"0.9","1.0","0.9","0.009699999999999997","9.999853802135007"
"0.9","1.0","0.9","0.009799999999999996","9.999853132465057"
"0.9","1.0","0.9","0.009899999999999996","9.9998524378282"
"0.9","1.0","0.9","0.009999999999999995","9.999843171665669"
"0.9","1.0","1.0","1.0E-4","9.999947130300853"
"0.9","1.0","1.0","2.0E-4","9.999947130300853"
"0.9","1.0","1.0","3.0000000000000003E-4","9.999947130300853"
"0.9","1.0","1.0","4.0E-4","9.999947130300853"
"0.9","1.0","1.0","5.0E-4","9.999947130300853"
"0.9","1.0","1.0","6.000000000000001E-4","9.999947130300853"
"0.9","1.0","1.0","7.000000000000001E-4","9.999947130300853"
"0.9","1.0","1.0","8.000000000000001E-4","9.999947130300853"
"0.9","1.0","1.0","9.000000000000002E-4","9.999947130300853"
"0.9","1.0","1.0","0.0010000000000000002","9.999947130300853"
"0.9","1.0","1.0","0.0011000000000000003","9.999947130300853"
"0.9","1.0","1.0","0.0012000000000000003","9.999947130300853"
"0.9","1.0","1.0","0.0013000000000000004","9.999947130300853"
"0.9","1.0","1.0","0.0014000000000000004","9.999947130300853"
"0.9","1.0","1.0","0.0015000000000000005","9.999947130300853"
"0.9","1.0","1.0","0.0016000000000000005","9.999947130300853"
"0.9","1.0","1.0","0.0017000000000000006","9.999947130300853"
"0.9","1.0","1.0","0.0018000000000000006","9.999947130300853"
"0.9","1.0","1.0","0.0019000000000000006","9.999947130300853"
"0.9","1.0","1.0","0.0020000000000000005","9.999947130300853"
"0.9","1.0","1.0","0.0021000000000000003","9.999947130300853"
"0.9","1.0","1.0","0.0022","9.999947130300853"
"0.9","1.0","1.0","0.0023","9.999947130300853"
"0.9","1.0","1.0","0.0024","9.999947130300853"
"0.9","1.0","1.0","0.0024999999999999996","9.999947130300853"
"0.9","1.0","1.0","0.0025999999999999994","9.999947130300853"
"0.9","1.0","1.0","0.0026999999999999993","9.999947130300853"
"0.9","1.0","1.0","0.002799999999999999","9.999947130300853"
"0.9","1.0","1.0","0.002899999999999999","9.999947130300853"
"0.9","1.0","1.0","0.0029999999999999988","9.999947130300853"
"0.9","1.0","1.0","0.0030999999999999986","9.999947130300853"
"0.9","1.0","1.0","0.0031999999999999984","9.999947130300853"
"0.9","1.0","1.0","0.0032999999999999982","9.999947130300853"
"0.9","1.0","1.0","0.003399999999999998","9.999947130300853"
"0.9","1.0","1.0","0.003499999999999998","9.999947130300853"
"0.9","1.0","1.0","0.0035999999999999977","9.999947130300853"
"0.9","1.0","1.0","0.0036999999999999976","9.999947130300853"
"0.9","1.0","1.0","0.0037999999999999974","9.999947130300853"
"0.9","1.0","1.0","0.0038999999999999972","9.999947130300853"
"0.9","1.0","1.0","0.0039999999999999975","9.999947130300853"
"0.9","1.0","1.0","0.004099999999999998","9.999947130300853"
"0.9","1.0","1.0","0.004199999999999998","9.999947130300853"
"0.9","1.0","1.0","0.004299999999999998","9.999947130300853"
"0.9","1.0","1.0","0.0043999999999999985","9.999947130300853"
"0.9","1.0","1.0","0.004499999999999999","9.999947130300853"
"0.9","1.0","1.0","0.004599999999999999","9.999947130300853"
"0.9","1.0","1.0","0.004699999999999999","9.999947130300853"
"0.9","1.0","1.0","0.0048","9.999947130300853"
"0.9","1.0","1.0","0.0049","9.999947130300853"
"0.9","1.0","1.0","0.005","9.999947130300853"
"0.9","1.0","1.0","0.0051","9.999947130300853"
"0.9","1.0","1.0","0.005200000000000001","9.999947130300853"
"0.9","1.0","1.0","0.005300000000000001","9.999947130300853"
"0.9","1.0","1.0","0.005400000000000001","9.999947130300853"
"0.9","1.0","1.0","0.005500000000000001","9.999947130300853"
"0.9","1.0","1.0","0.005600000000000002","9.999947130300853"
"0.9","1.0","1.0","0.005700000000000002","9.999947130300853"
"0.9","1.0","1.0","0.005800000000000002","9.999947130300853"
"0.9","1.0","1.0","0.0059000000000000025","9.999947130300853"
"0.9","1.0","1.0","0.006000000000000003","9.999947130300853"
"0.9","1.0","1.0","0.006100000000000003","9.999947130300853"
"0.9","1.0","1.0","0.006200000000000003","9.999947130300853"
"0.9","1.0","1.0","0.0063000000000000035","9.999947130300853"
"0.9","1.0","1.0","0.006400000000000004","9.999947130300853"
"0.9","1.0","1.0","0.006500000000000004","9.999947130300853"
"0.9","1.0","1.0","0.006600000000000004","9.999947130300853"
"0.9","1.0","1.0","0.0067000000000000046","9.999947130300853"
"0.9","1.0","1.0","0.006800000000000005","9.999947130300853"
"0.9","1.0","1.0","0.006900000000000005","9.999947130300853"
"0.9","1.0","1.0","0.007000000000000005","9.999947130300853"
"0.9","1.0","1.0","0.007100000000000006","9.999947130300853"
"0.9","1.0","1.0","0.007200000000000006","9.999947130300853"
"0.9","1.0","1.0","0.007300000000000006","9.999947130300853"
"0.9","1.0","1.0","0.007400000000000006","9.999947130300853"
"0.9","1.0","1.0","0.007500000000000007","9.999947130300853"
"0.9","1.0","1.0","0.007600000000000007","9.999947130300853"
"0.9","1.0","1.0","0.007700000000000007","9.999947130300853"
"0.9","1.0","1.0","0.0078000000000000074","9.999947130300853"
"0.9","1.0","1.0","0.007900000000000008","9.999947130300853"
"0.9","1.0","1.0","0.008000000000000007","9.999947130300853"
"0.9","1.0","1.0","0.008100000000000007","9.999947130300853"
"0.9","1.0","1.0","0.008200000000000006","9.999947130300853"
"0.9","1.0","1.0","0.008300000000000005","9.999947130300853"
"0.9","1.0","1.0","0.008400000000000005","9.999947130300853"
"0.9","1.0","1.0","0.008500000000000004","9.999947130300853"
"0.9","1.0","1.0","0.008600000000000003","9.999947130300853"
"0.9","1.0","1.0","0.008700000000000003","9.999947130300853"
"0.9","1.0","1.0","0.008800000000000002","9.999947130300853"
"0.9","1.0","1.0","0.008900000000000002","9.999947130300853"
"0.9","1.0","1.0","0.009000000000000001","9.999947130300853"
"0.9","1.0","1.0","0.0091","9.999947130300853"
"0.9","1.0","1.0","0.0092","9.999947130300853"
"0.9","1.0","1.0","0.0093","9.999947130300853"
"0.9","1.0","1.0","0.009399999999999999","9.999947130300853"
"0.9","1.0","1.0","0.009499999999999998","9.999947130300853"
"0.9","1.0","1.0","0.009599999999999997","9.999947130300853"
"0.9","1.0","1.0","0.009699999999999997","9.999947130300853"
"0.9","1.0","1.0","0.009799999999999996","9.999947130300853"
"0.9","1.0","1.0","0.009899999999999996","9.999947130300853"
"0.9","1.0","1.0","0.009999999999999995","9.999947130300853"
"0.9","2.0","0.8","1.0E-4","9.99938983606668"
"0.9","2.0","0.8","2.0E-4","9.999503033637446"
"0.9","2.0","0.8","3.0000000000000003E-4","9.999604989210274"
"0.9","2.0","0.8","4.0E-4","9.999656835699593"
"0.9","2.0","0.8","5.0E-4","9.999681264164387"
"0.9","2.0","0.8","6.000000000000001E-4","9.999741438396468"
"0.9","2.0","0.8","7.000000000000001E-4","9.999706674876043"
"0.9","2.0","0.8","8.000000000000001E-4","9.999749628476206"
"0.9","2.0","0.8","9.000000000000002E-4","9.999771871897412"
"0.9","2.0","0.8","0.0010000000000000002","9.999792997278211"
"0.9","2.0","0.8","0.0011000000000000003","9.999778318911876"
"0.9","2.0","0.8","0.0012000000000000003","9.999789699418859"
"0.9","2.0","0.8","0.0013000000000000004","9.999803726105144"
"0.9","2.0","0.8","0.0014000000000000004","9.999792644779593"
"0.9","2.0","0.8","0.0015000000000000005","9.999787181099784"
"0.9","2.0","0.8","0.0016000000000000005","9.999775615953569"
"0.9","2.0","0.8","0.0017000000000000006","9.999778965721504"
"0.9","2.0","0.8","0.0018000000000000006","9.999791935585645"
"0.9","2.0","0.8","0.0019000000000000006","9.999788806795758"
"0.9","2.0","0.8","0.0020000000000000005","9.999794803846875"
"0.9","2.0","0.8","0.0021000000000000003","9.999803203815457"
"0.9","2.0","0.8","0.0022","9.999818982480138"
"0.9","2.0","0.8","0.0023","9.999820130818318"
"0.9","2.0","0.8","0.0024","9.999804920538589"
"0.9","2.0","0.8","0.0024999999999999996","9.999798800783207"
"0.9","2.0","0.8","0.0025999999999999994","9.999814926482163"
"0.9","2.0","0.8","0.0026999999999999993","9.99984389199422"
"0.9","2.0","0.8","0.002799999999999999","9.999805148773472"
"0.9","2.0","0.8","0.002899999999999999","9.99981493832681"
"0.9","2.0","0.8","0.0029999999999999988","9.999814421380393"
"0.9","2.0","0.8","0.0030999999999999986","9.999813441942084"
"0.9","2.0","0.8","0.0031999999999999984","9.999835687263024"
"0.9","2.0","0.8","0.0032999999999999982","9.99982251862738"
"0.9","2.0","0.8","0.003399999999999998","9.999830703012416"
"0.9","2.0","0.8","0.003499999999999998","9.999798344326738"
"0.9","2.0","0.8","0.0035999999999999977","9.999823501233895"
"0.9","2.0","0.8","0.0036999999999999976","9.99979225604689"
"0.9","2.0","0.8","0.0037999999999999974","9.999828631305633"
"0.9","2.0","0.8","0.0038999999999999972","9.9997906988181"
"0.9","2.0","0.8","0.0039999999999999975","9.999814869192088"
"0.9","2.0","0.8","0.004099999999999998","9.999802929916983"
"0.9","2.0","0.8","0.004199999999999998","9.999808996297052"
"0.9","2.0","0.8","0.004299999999999998","9.999789114680928"
"0.9","2.0","0.8","0.0043999999999999985","9.999768217653132"
"0.9","2.0","0.8","0.004499999999999999","9.99982999707633"
"0.9","2.0","0.8","0.004599999999999999","9.999746615641339"
"0.9","2.0","0.8","0.004699999999999999","9.999780127477598"
"0.9","2.0","0.8","0.0048","9.999806381541498"
"0.9","2.0","0.8","0.0049","9.999785919640328"
"0.9","2.0","0.8","0.005","9.999789307692073"
"0.9","2.0","0.8","0.0051","9.999767935739538"
"0.9","2.0","0.8","0.005200000000000001","9.999790113341389"
"0.9","2.0","0.8","0.005300000000000001","9.999776285994797"
"0.9","2.0","0.8","0.005400000000000001","9.999764278439683"
"0.9","2.0","0.8","0.005500000000000001","9.999789446064458"
"0.9","2.0","0.8","0.005600000000000002","9.999756200438732"
"0.9","2.0","0.8","0.005700000000000002","9.999758076540996"
"0.9","2.0","0.8","0.005800000000000002","9.999733374473324"
"0.9","2.0","0.8","0.0059000000000000025","9.999766351767988"
"0.9","2.0","0.8","0.006000000000000003","9.999755276183766"
"0.9","2.0","0.8","0.006100000000000003","9.999751763748915"
"0.9","2.0","0.8","0.006200000000000003","9.99973260068139"
"0.9","2.0","0.8","0.0063000000000000035","9.99974696205253"
"0.9","2.0","0.8","0.006400000000000004","9.99976141151814"
"0.9","2.0","0.8","0.006500000000000004","9.999705933879158"
"0.9","2.0","0.8","0.006600000000000004","9.99974215631074"
"0.9","2.0","0.8","0.0067000000000000046","9.99976139185153"
"0.9","2.0","0.8","0.006800000000000005","9.999715032566021"
"0.9","2.0","0.8","0.006900000000000005","9.999708468701572"
"0.9","2.0","0.8","0.007000000000000005","9.999710935805803"
"0.9","2.0","0.8","0.007100000000000006","9.999739580970195"
"0.9","2.0","0.8","0.007200000000000006","9.99972879735984"
"0.9","2.0","0.8","0.007300000000000006","9.99973175541195"
"0.9","2.0","0.8","0.007400000000000006","9.999684604470875"
"0.9","2.0","0.8","0.007500000000000007","9.999688546499534"
"0.9","2.0","0.8","0.007600000000000007","9.999706924507054"
