Alpha,Mutation_Step_Size_Start,Tau_Scale,Tau_Prime_Scale,Fitness
0.4,0.3,1.3,1.3,8.10328221900714
0.4,0.55,0.7,0.7,9.99998512164965
0.4,0.55,0.7,0.9,9.99998422044941
0.4,0.55,0.7,1.1,9.99997801138072
0.4,0.55,0.7,1.3,9.99998422723607
0.4,0.55,0.9,0.7,9.99997110423761
0.4,0.55,0.9,0.9,9.99997702545028
0.4,0.55,0.9,1.1,9.9999509110432
0.4,0.55,0.9,1.3,9.99996214381367
0.4,0.55,1.1,0.7,9.45172681248229
0.4,0.55,1.1,0.9,9.50797008325142
0.4,0.55,1.1,1.1,9.17984867944491
0.4,0.55,1.1,1.3,8.92215826304297
0.4,0.55,1.3,0.7,8.2343749879651
0.4,0.55,1.3,0.9,9.39391124120031
0.4,0.55,1.3,1.1,9.63605098517337
0.4,0.55,1.3,1.3,8.65055376982064
0.4,0.8,0.7,0.7,9.99998988233068
0.4,0.8,0.7,0.9,9.99999107197649
0.4,0.8,0.7,1.1,9.99998549056777
0.4,0.8,0.7,1.3,9.99997198522544
0.4,0.8,0.9,0.7,9.99998322522868
0.4,0.8,0.9,0.9,9.99995964119709
0.4,0.8,0.9,1.1,9.99995723112063
0.4,0.8,0.9,1.3,9.99996581932235
0.4,0.8,1.1,0.7,9.55705291510067
0.4,0.8,1.1,0.9,9.21574224110544
0.4,0.8,1.1,1.1,9.19537191184923
0.4,0.8,1.1,1.3,9.07370794320022
0.4,0.8,1.3,0.7,8.50732740717697
0.4,0.8,1.3,0.9,9.17478194463206
0.4,0.8,1.3,1.1,9.25490446991833
0.4,0.8,1.3,1.3,8.52359158867869
0.4,1.05,0.7,0.7,9.99998799317332
0.4,1.05,0.7,0.9,9.99998602414962
0.4,1.05,0.7,1.1,9.99998331457303
0.4,1.05,0.7,1.3,9.99998056107351
0.4,1.05,0.9,0.7,9.99996568380757
0.4,1.05,0.9,0.9,9.99995063810588
0.4,1.05,0.9,1.1,9.99996808350579
0.4,1.05,0.9,1.3,9.99997321063269
0.4,1.05,1.1,0.7,9.05260830493456
0.4,1.05,1.1,0.9,8.67477077899554
0.4,1.05,1.1,1.1,9.18986185344127
0.4,1.05,1.1,1.3,9.06222245243242
0.4,1.05,1.3,0.7,8.67582947664098
0.4,1.05,1.3,0.9,8.58905784574578
0.4,1.05,1.3,1.1,9.61462729544566
0.4,1.05,1.3,1.3,9.03912084579236
0.4,1.3,0.7,0.7,9.99998589920478
0.4,1.3,0.7,0.9,9.99998752800134
0.4,1.3,0.7,1.1,9.99998240040103
0.4,1.3,0.7,1.3,9.99997863863282
0.4,1.3,0.9,0.7,9.99997465868815
0.4,1.3,0.9,0.9,9.99996026157825
0.4,1.3,0.9,1.1,9.99996835969575
0.4,1.3,0.9,1.3,9.99994324143199
0.4,1.3,1.1,0.7,9.1054844996791
0.4,1.3,1.1,0.9,9.21109166385121
0.4,1.3,1.1,1.1,8.4418702721564
0.4,1.3,1.1,1.3,9.43401956949569
0.4,1.3,1.3,0.7,8.5472205967955
0.4,1.3,1.3,0.9,9.16924038250572
0.4,1.3,1.3,1.1,9.2160242072135
0.4,1.3,1.3,1.3,8.51736215989529
0.4,1.55,0.7,0.7,9.99999004799675
0.4,1.55,0.7,0.9,9.99998026869724
0.4,1.55,0.7,1.1,9.99999167717931
0.4,1.55,0.7,1.3,9.9999822382988
0.4,1.55,0.9,0.7,9.99995762634391
0.4,1.55,0.9,0.9,9.9999587703051
0.4,1.55,0.9,1.1,9.99978607082408
0.4,1.55,0.9,1.3,9.99995250684394
0.4,1.55,1.1,0.7,9.56900690610542
0.4,1.55,1.1,0.9,9.73308680826643
0.4,1.55,1.1,1.1,9.34743593864229
0.4,1.55,1.1,1.3,9.27395800464649
0.4,1.55,1.3,0.7,8.252796759419
0.4,1.55,1.3,0.9,9.07880882734481
0.4,1.55,1.3,1.1,9.30033793899807
0.4,1.55,1.3,1.3,7.69633180413359
0.45,0.3,0.7,0.7,9.99998389718561
0.45,0.3,0.7,0.9,9.99998123615861
0.45,0.3,0.7,1.1,9.99997502354009
0.45,0.3,0.7,1.3,9.99996710416032
0.45,0.3,0.9,0.7,9.99997406179714
0.45,0.3,0.9,0.9,9.99997754330675
0.45,0.3,0.9,1.1,9.99996028111939
0.45,0.3,0.9,1.3,9.99991945602252
0.45,0.3,1.1,0.7,9.50744186679526
0.45,0.3,1.1,0.9,9.25963371517473
0.45,0.3,1.1,1.1,9.53364001303127
0.45,0.3,1.1,1.3,9.64928366626442
0.45,0.3,1.3,0.7,9.42462461842651
0.45,0.3,1.3,0.9,9.09217201496419
0.45,0.3,1.3,1.1,9.22115732987978
0.45,0.3,1.3,1.3,8.73949400665474
0.45,0.55,0.7,0.7,9.99998768490129
0.45,0.55,0.7,0.9,9.99998553885652
0.45,0.55,0.7,1.1,9.99997157993266
0.45,0.55,0.7,1.3,9.9999835687221
0.45,0.55,0.9,0.7,9.99998017848262
0.45,0.55,0.9,0.9,9.99997562693536
0.45,0.55,0.9,1.1,9.99995335766677
0.45,0.55,0.9,1.3,9.99995487740922
0.45,0.55,1.1,0.7,9.82037715001108
0.45,0.55,1.1,0.9,9.71831905761544
0.45,0.55,1.1,1.1,9.41172880662513
0.45,0.55,1.1,1.3,8.58426369608488
0.45,0.55,1.3,0.7,9.53853504946877
0.45,0.55,1.3,0.9,9.73274619510498
0.45,0.55,1.3,1.1,9.27477044166432
0.45,0.55,1.3,1.3,8.60315383568036
0.45,0.8,0.7,0.7,9.99999039724185
0.45,0.8,0.7,0.9,9.99998906198106
0.45,0.8,0.7,1.1,9.99998110593256
0.45,0.8,0.7,1.3,9.9999844616007
0.45,0.8,0.9,0.7,9.99998244864122
0.45,0.8,0.9,0.9,9.99997523537203
0.45,0.8,0.9,1.1,9.99989276504824
0.45,0.8,0.9,1.3,9.99991536354644
0.45,0.8,1.1,0.7,9.65422622273694
0.45,0.8,1.1,0.9,9.32581439100544
0.45,0.8,1.1,1.1,9.57676497581169
0.45,0.8,1.1,1.3,9.29723398984228
0.45,0.8,1.3,0.7,9.19471601013622
0.45,0.8,1.3,0.9,9.28492879404344
0.45,0.8,1.3,1.1,9.02735062934999
0.45,0.8,1.3,1.3,9.02833914955983
0.45,1.05,0.7,0.7,9.99998605531619
0.45,1.05,0.7,0.9,9.99998642394463
0.45,1.05,0.7,1.1,9.99997493613215
0.45,1.05,0.7,1.3,9.99998341540493
0.45,1.05,0.9,0.7,9.99996623693125
0.45,1.05,0.9,0.9,9.99954036469794
0.45,1.05,0.9,1.1,9.99997284158245
0.45,1.05,0.9,1.3,9.99997470792031
0.45,1.05,1.1,0.7,9.56080616826113
0.45,1.05,1.1,0.9,9.72172852192815
0.45,1.05,1.1,1.1,9.4027125806947
0.45,1.05,1.1,1.3,9.14415767993165
0.45,1.05,1.3,0.7,9.30913061689946
0.45,1.05,1.3,0.9,9.05049186701527
0.45,1.05,1.3,1.1,9.18255991051518
0.45,1.05,1.3,1.3,8.78088313787714
0.45,1.3,0.7,0.7,9.99999125549774
0.45,1.3,0.7,0.9,9.99999112813811
0.45,1.3,0.7,1.1,9.99998521556303
0.45,1.3,0.7,1.3,9.99998118630392
0.45,1.3,0.9,0.7,9.99996808060069
0.45,1.3,0.9,0.9,9.99996942934783
0.45,1.3,0.9,1.1,9.99996894910784
0.45,1.3,0.9,1.3,9.99904822125963
0.45,1.3,1.1,0.7,9.81478892422609
0.45,1.3,1.1,0.9,8.3425553987307
0.45,1.3,1.1,1.1,9.03110174630944
0.45,1.3,1.1,1.3,9.54007141863346
0.45,1.3,1.3,0.7,8.08704572088344
0.45,1.3,1.3,0.9,9.01428409991452
0.45,1.3,1.3,1.1,8.58279964512415
0.45,1.3,1.3,1.3,8.85665330652884
0.45,1.55,0.7,0.7,9.99998022867586
0.45,1.55,0.7,0.9,9.99998685082801
0.45,1.55,0.7,1.1,9.99998775401426
0.45,1.55,0.7,1.3,9.99998583203071
0.45,1.55,0.9,0.7,9.99996716149093
0.45,1.55,0.9,0.9,9.99989857326333
0.45,1.55,0.9,1.1,9.99994427153346
0.45,1.55,0.9,1.3,9.99897986055448
0.45,1.55,1.1,0.7,9.35510765009535
0.45,1.55,1.1,0.9,9.75677404970106
0.45,1.55,1.1,1.1,9.64539033140002
0.45,1.55,1.1,1.3,8.12744297399861
0.45,1.55,1.3,0.7,8.66832567705037
0.45,1.55,1.3,0.9,9.2315966537684
0.45,1.55,1.3,1.1,8.94988237769867
0.45,1.55,1.3,1.3,9.64280345595867
0.5,0.3,0.7,0.7,9.99998573137189
0.5,0.3,0.7,0.9,9.99997546756107
0.5,0.3,0.7,1.1,9.99997241693031
0.5,0.3,0.7,1.3,9.99997311182212
0.5,0.3,0.9,0.7,9.99998323780515
0.5,0.3,0.9,0.9,9.99997067477486
0.5,0.3,0.9,1.1,9.99998249334044
0.5,0.3,0.9,1.3,9.99951759956864
0.5,0.3,1.1,0.7,9.92390208553129
0.5,0.3,1.1,0.9,9.91333837149256
0.5,0.3,1.1,1.1,8.72339953665341
0.5,0.3,1.1,1.3,9.54388309542212
0.5,0.3,1.3,0.7,9.3452066659685
0.5,0.3,1.3,0.9,8.68890853019838
0.5,0.3,1.3,1.1,9.3939734494176
0.5,0.3,1.3,1.3,8.88322372942663
0.5,0.55,0.7,0.7,9.99997741040537
0.5,0.55,0.7,0.9,9.99998651040609
0.5,0.55,0.7,1.1,9.99997950139379
0.5,0.55,0.7,1.3,9.99998040330037
0.5,0.55,0.9,0.7,9.99998040857356
0.5,0.55,0.9,0.9,9.99996508299831
0.5,0.55,0.9,1.1,9.99997485175787
0.5,0.55,0.9,1.3,9.99926557690698
0.5,0.55,1.1,0.7,9.20916360229089
0.5,0.55,1.1,0.9,9.07224587127581
0.5,0.55,1.1,1.1,9.7153764039806
0.5,0.55,1.1,1.3,9.28654845997765
0.5,0.55,1.3,0.7,9.45380657960302
0.5,0.55,1.3,0.9,9.66166823717865
0.5,0.55,1.3,1.1,9.60559510593609
0.5,0.55,1.3,1.3,9.27111012282948
0.5,0.8,0.7,0.7,9.99999207384386
0.5,0.8,0.7,0.9,9.99998517372238
0.5,0.8,0.7,1.1,9.99998249337236
0.5,0.8,0.7,1.3,9.99998325209444
0.5,0.8,0.9,0.7,9.99998000999672
0.5,0.8,0.9,0.9,9.9999815324457
0.5,0.8,0.9,1.1,9.99985297535266
0.5,0.8,0.9,1.3,9.99992986336125
0.5,0.8,1.1,0.7,9.58046333597789
0.5,0.8,1.1,0.9,9.48631125338715
0.5,0.8,1.1,1.1,8.52224364233962
0.5,0.8,1.1,1.3,9.3736544766448
0.5,0.8,1.3,0.7,9.25504398349355
0.5,0.8,1.3,0.9,8.6919560177563
0.5,0.8,1.3,1.1,9.32332167995224
0.5,0.8,1.3,1.3,8.66903339787476
0.5,1.05,0.7,0.7,9.99999021929692
0.5,1.05,0.7,0.9,9.99998044685126
0.5,1.05,0.7,1.1,9.99998414689375
0.5,1.05,0.7,1.3,9.99997455050634
0.5,1.05,0.9,0.7,9.999968511477
0.5,1.05,0.9,0.9,9.99996454855531
0.5,1.05,0.9,1.1,9.99997519164386
0.5,1.05,0.9,1.3,9.99983328384582
0.5,1.05,1.1,0.7,9.40707840799853
0.5,1.05,1.1,0.9,9.21320520264409
0.5,1.05,1.1,1.1,9.4203179722894
0.5,1.05,1.1,1.3,8.49534184820524
0.5,1.05,1.3,0.7,8.76046087078593
0.5,1.05,1.3,0.9,9.57168370738791
0.5,1.05,1.3,1.1,8.87380975991247
0.5,1.05,1.3,1.3,8.92879077563655
0.5,1.3,0.7,0.7,9.99999093216859
0.5,1.3,0.7,0.9,9.99998428814397
0.5,1.3,0.7,1.1,9.99998573488992
0.5,1.3,0.7,1.3,9.99997807472203
0.5,1.3,0.9,0.7,9.9999695461861
0.5,1.3,0.9,0.9,9.99997589644284
0.5,1.3,0.9,1.1,9.99993841788143
0.5,1.3,0.9,1.3,9.99981031484123
0.5,1.3,1.1,0.7,9.54902363952284
0.5,1.3,1.1,0.9,9.3500591827872
0.5,1.3,1.1,1.1,9.60801537112002
0.5,1.3,1.1,1.3,8.50288423486956
0.5,1.3,1.3,0.7,9.17759232639984
0.5,1.3,1.3,0.9,9.58757320952544
0.5,1.3,1.3,1.1,9.38185778419038
0.5,1.3,1.3,1.3,8.9752142102038
0.5,1.55,0.7,0.7,9.99997996501463
0.5,1.55,0.7,0.9,9.9999872339564
0.5,1.55,0.7,1.1,9.99997967730809
0.5,1.55,0.7,1.3,9.99997843928327
0.5,1.55,0.9,0.7,9.99996155930355
0.5,1.55,0.9,0.9,9.99995375897392
0.5,1.55,0.9,1.1,9.99992668664192
0.5,1.55,0.9,1.3,9.99993880177012
0.5,1.55,1.1,0.7,9.1535491805894
0.5,1.55,1.1,0.9,8.21522852161236
0.5,1.55,1.1,1.1,9.11872943519279
0.5,1.55,1.1,1.3,9.78169559861296
0.5,1.55,1.3,0.7,8.73468644089186
0.5,1.55,1.3,0.9,7.82960892252721
0.5,1.55,1.3,1.1,9.63409444938492
0.5,1.55,1.3,1.3,7.86139038012642
